OBJECTID,GIS_ID,NAME,WEB_URL,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
118,VotePrecinctPly_64,Precinct 106,https://www.dcboe.org/,,,,,0,0
119,VotePrecinctPly_65,Precinct 131,https://www.dcboe.org/,,,,,0,0
120,VotePrecinctPly_66,Precinct 108,https://www.dcboe.org/,,,,,0,0
121,VotePrecinctPly_67,Precinct 140,https://www.dcboe.org/,,,,,0,0
122,VotePrecinctPly_68,Precinct 127,https://www.dcboe.org/,,,,,0,0
123,VotePrecinctPly_70,Precinct 133,https://www.dcboe.org/,,,,,0,0
124,VotePrecinctPly_71,Precinct 110,https://www.dcboe.org/,,,,,0,0
125,VotePrecinctPly_53,Precinct 119,https://www.dcboe.org/,,,,,0,0
126,VotePrecinctPly_79,Precinct 123,https://www.dcboe.org/,,,,,0,0
127,VotePrecinctPly_80,Precinct 114,https://www.dcboe.org/,,,,,0,0
128,VotePrecinctPly_81,Precinct 112,https://www.dcboe.org/,,,,,0,0
129,VotePrecinctPly_82,Precinct 113,https://www.dcboe.org/,,,,,0,0
130,VotePrecinctPly_83,Precinct 134,https://www.dcboe.org/,,,,,0,0
131,VotePrecinctPly_84,Precinct 118,https://www.dcboe.org/,,,,,0,0
132,VotePrecinctPly_85,Precinct 115,https://www.dcboe.org/,,,,,0,0
133,VotePrecinctPly_86,Precinct 117,https://www.dcboe.org/,,,,,0,0
134,VotePrecinctPly_87,Precinct 116,https://www.dcboe.org/,,,,,0,0
135,VotePrecinctPly_89,Precinct 120,https://www.dcboe.org/,,,,,0,0
136,VotePrecinctPly_88,Precinct 122,https://www.dcboe.org/,,,,,0,0
137,VotePrecinctPly_90,Precinct 121,https://www.dcboe.org/,,,,,0,0
138,VotePrecinctPly_91,Precinct 124,https://www.dcboe.org/,,,,,0,0
139,VotePrecinctPly_92,Precinct 125,https://www.dcboe.org/,,,,,0,0
140,VotePrecinctPly_93,Precinct 126,https://www.dcboe.org/,,,,,0,0
141,VotePrecinctPly_63,Precinct 111,https://www.dcboe.org/,,,,,0,0
142,VotePrecinctPly_69,Precinct 109,https://www.dcboe.org/,,,,,0,0
143,VotePrecinctPly_6,Precinct 75,https://www.dcboe.org/,,,,,0,0
144,VotePrecinctPly_61,Precinct 142,https://www.dcboe.org/,,,,,0,0
